#,Project,Category,Description,GitHub,Status,Source
1,Cal.com,Productivity / Collaboration,Open-source scheduling platform,https://github.com/calcom/cal.com,To Review,Curated GitHub list
2,AppFlowy,Productivity / Collaboration,Open-source Notion alternative,https://github.com/AppFlowy-IO/AppFlowy,To Review,Curated GitHub list
3,Outline,Productivity / Collaboration,Knowledge base and team wiki,https://github.com/outline/outline,To Review,Curated GitHub list
4,Plane,Developer Tools,Open-source Jira alternative,https://github.com/makeplane/plane,To Review,Curated GitHub list
5,Penpot,Design / Frontend,Open-source design and prototyping tool,https://github.com/penpot/penpot,To Review,Curated GitHub list
6,NocoDB,AI / ML,Open-source Airtable alternative,https://github.com/nocodb/nocodb,To Review,Curated GitHub list
7,Baserow,Data / Analytics,No-code database platform,https://github.com/bram2w/baserow,To Review,Curated GitHub list
8,Supabase,Developer Tools,Open-source Firebase alternative,https://github.com/supabase/supabase,To Review,Curated GitHub list
9,Appwrite,Data / Analytics,Backend platform for web and mobile apps,https://github.com/appwrite/appwrite,To Review,Curated GitHub list
10,PocketBase,Self-hosted / Personal,Lightweight backend in one file,https://github.com/pocketbase/pocketbase,To Review,Curated GitHub list
11,Directus,Data / Analytics,Headless CMS for SQL databases,https://github.com/directus/directus,To Review,Curated GitHub list
12,Strapi,Developer Tools,Open-source headless CMS,https://github.com/strapi/strapi,To Review,Curated GitHub list
13,Payload CMS,Developer Tools,Developer-first headless CMS,https://github.com/payloadcms/payload,To Review,Curated GitHub list
14,Ghost,Developer Tools,Open-source publishing and newsletter platform,https://github.com/TryGhost/Ghost,To Review,Curated GitHub list
15,Listmonk,AI / ML,Self-hosted newsletter and mailing list manager,https://github.com/knadh/listmonk,To Review,Curated GitHub list
16,Mautic,Business / Commerce,Open-source marketing automation,https://github.com/mautic/mautic,To Review,Curated GitHub list
17,Chatwoot,Productivity / Collaboration,Open-source customer support platform,https://github.com/chatwoot/chatwoot,To Review,Curated GitHub list
18,Zammad,Business / Commerce,Open-source helpdesk system,https://github.com/zammad/zammad,To Review,Curated GitHub list
19,FreeScout,Business / Commerce,Lightweight helpdesk and shared inbox,https://github.com/freescout-help-desk/freescout,To Review,Curated GitHub list
20,Papercups,Productivity / Collaboration,Open-source live chat platform,https://github.com/papercups-io/papercups,To Review,Curated GitHub list
21,Fider,Business / Commerce,Open-source feedback and feature voting tool,https://github.com/getfider/fider,To Review,Curated GitHub list
22,PostHog,Data / Analytics,Open-source product analytics,https://github.com/PostHog/posthog,To Review,Curated GitHub list
23,Plausible Analytics,Data / Analytics,Privacy-friendly Google Analytics alternative,https://github.com/plausible/analytics,To Review,Curated GitHub list
24,Umami,Data / Analytics,Simple privacy-focused analytics,https://github.com/umami-software/umami,To Review,Curated GitHub list
25,Matomo,Data / Analytics,Full open-source web analytics platform,https://github.com/matomo-org/matomo,To Review,Curated GitHub list
26,Ackee,Data / Analytics,Self-hosted privacy-friendly analytics,https://github.com/electerious/Ackee,To Review,Curated GitHub list
27,Rybbit,Data / Analytics,Privacy-friendly Google Analytics alternative,https://github.com/rybbit-io/rybbit,To Review,Curated GitHub list
28,Metabase,Developer Tools,Open-source business intelligence,https://github.com/metabase/metabase,To Review,Curated GitHub list
29,Apache Superset,Data / Analytics,Data visualization and BI platform,https://github.com/apache/superset,To Review,Curated GitHub list
30,Redash,Data / Analytics,Query and dashboard tool,https://github.com/getredash/redash,To Review,Curated GitHub list
31,Grafana,Data / Analytics,Monitoring and observability dashboards,https://github.com/grafana/grafana,To Review,Curated GitHub list
32,Prometheus,DevOps / Infrastructure,Monitoring and alerting toolkit,https://github.com/prometheus/prometheus,To Review,Curated GitHub list
33,Uptime Kuma,Design / Frontend,Self-hosted uptime monitoring,https://github.com/louislam/uptime-kuma,To Review,Curated GitHub list
34,Gatus,Data / Analytics,Automated service health dashboard,https://github.com/TwiN/gatus,To Review,Curated GitHub list
35,Sentry,DevOps / Infrastructure,Error tracking and performance monitoring,https://github.com/getsentry/sentry,To Review,Curated GitHub list
36,GlitchTip,Developer Tools,Open-source Sentry alternative,https://github.com/glitchtip/glitchtip,To Review,Curated GitHub list
37,Novu,DevOps / Infrastructure,Open-source notification infrastructure,https://github.com/novuhq/novu,To Review,Curated GitHub list
38,Infisical,Security / Auth,Open-source secrets management,https://github.com/Infisical/infisical,To Review,Curated GitHub list
39,Vault,Security / Auth,Secrets and identity management,https://github.com/hashicorp/vault,To Review,Curated GitHub list
40,Zitadel,Security / Auth,Identity and access management,https://github.com/zitadel/zitadel,To Review,Curated GitHub list
41,Authentik,Security / Auth,Open-source identity provider and SSO,https://github.com/goauthentik/authentik,To Review,Curated GitHub list
42,Keycloak,Security / Auth,Identity and access management,https://github.com/keycloak/keycloak,To Review,Curated GitHub list
43,Ory Kratos,Security / Auth,Identity and user management,https://github.com/ory/kratos,To Review,Curated GitHub list
44,Ory Hydra,DevOps / Infrastructure,OAuth2 and OpenID Connect server,https://github.com/ory/hydra,To Review,Curated GitHub list
45,Passbolt,Security / Auth,Open-source password manager for teams,https://github.com/passbolt/passbolt_api,To Review,Curated GitHub list
46,Bitwarden Server,Data / Analytics,Password manager backend,https://github.com/bitwarden/server,To Review,Curated GitHub list
47,Vaultwarden,Data / Analytics,Lightweight Bitwarden-compatible server,https://github.com/dani-garcia/vaultwarden,To Review,Curated GitHub list
48,Docmost,Productivity / Collaboration,Open-source Notion and Confluence alternative,https://github.com/docmost/docmost,To Review,Curated GitHub list
